chain,bridge_contract,tokenFrom,symbol,decimals,total_raw,total_human
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0x0000000000000000000000000000000000000000,ETH,18,5959244000000000000,5.959244
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,6,516730000,516.73
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,6,421498000,421.498
arbitrum,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,8,441840,0.0044184
base,0xe179c49A5006EB738A242813A6C5BDe46a54Fc5C,0x0000000000000000000000000000000000000000,ETH,18,11701552760000000000,11.70155276
base,0xe179c49A5006EB738A242813A6C5BDe46a54Fc5C,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6,1000000,1
base,0xe179c49A5006EB738A242813A6C5BDe46a54Fc5C,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,USDT,6,4040000,4.04
binance,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0x0000000000000000000000000000000000000000,BNB,18,89302171000000000000,89.302171
binance,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18,77000000000000,0.000077
binance,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18,30700000000000000000,30.7
binance,0x119d249246160028fcCCc8C3DF4a5a3C11dc9a6B,0x55d398326f99059ff775485246999027b3197955,USDT,18,30000000000000000000,30
